B_T,magnetic_pressure_MPa,peak_fiber_stress_MPa,peak_fiber_factor,buildable
12.0,57.295779513082316,74.9619781962827,0.785,yes
14.0,77.98592211502871,102.03158143382923,0.785,yes
17.0,114.98944638389439,150.44452568559515,0.785,yes
20.0,159.15494309189535,208.22771721189642,0.785,yes
23.0,210.4824122390316,275.38115601273296,0.785,yes
