net_tbr,t_burn_kg_fpy,surplus_kg_fpy,exporter
1.05,4.97437915144684,0.24871895757234222,no
1.1,4.97437915144684,0.49743791514468444,no
1.2,4.97437915144684,0.9948758302893678,no
1.34,4.97437915144684,1.6912889114919258,yes
1.5,4.97437915144684,2.48718957572342,yes
1.65,4.97437915144684,3.2333464484404453,yes
1.8,4.97437915144684,3.979503321157472,yes
